game_name, game_url, img_url, release_date, platform, rating, price, discount_price, discount_rate
Palworld, https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1623730/capsule_sm_120.jpg?t=1705662211, 18 Jan 2024, [' win'], Very Positive94% of the 145,591 user reviews for this game are positive., None, 28,99€, No discount
Monster Hunter: World, https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/582010/capsule_sm_120.jpg?t=1704795600, 9 Aug 2018, [' win'], Very Positive88% of the 251,202 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., 29,99€, 9,89€, 067%
Lethal Company, https://store.steampowered.com/app/1966720/Lethal_Company/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1966720/capsule_sm_120.jpg?t=1700231592, 23 Oct 2023, [' win'], Overwhelmingly Positive97% of the 254,295 user reviews for this game are positive., None, 9,75€, No discount
Warframe, https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/230410/capsule_sm_120.jpg?t=1705509351, 25 Mar 2013, [' win'], Very Positive87% of the 560,235 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., None, Free, No discount
Like a Dragon: Infinite Wealth, https://store.steampowered.com/app/2072450/Like_a_Dragon_Infinite_Wealth/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2072450/capsule_sm_120.jpg?t=1706195448, 25 Jan 2024, [' win'], Very Positive90% of the 2,159 user reviews for this game are positive., None, 69,99€, No discount
Call of Duty®, https://store.steampowered.com/app/1938090/Call_of_Duty/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1938090/capsule_sm_120.jpg?t=1705421493, 27 Oct 2022, [' win'], Mixed57% of the 520,020 user reviews for this game are positive., None, No discount, No discount
Forza Horizon 5, https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1551360/capsule_sm_120.jpg?t=1706574463, 8 Nov 2021, [' win'], Very Positive88% of the 147,269 user reviews for this game are positive., 59,99€, 29,99€, 050%
Monster Hunter World: Iceborne, https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1118010/capsule_sm_120.jpg?t=1702368891, 9 Jan 2020, [' win'], Mixed57% of the 15,974 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., 39,99€, 14,79€, 063%
Resident Evil 4, https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2050650/capsule_sm_120.jpg?t=1706599817, 23 Mar 2023, [' win'], Overwhelmingly Positive97% of the 78,851 user reviews for this game are positive., 59,99€, 29,99€, 050%
War Thunder, https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/236390/capsule_sm_120.jpg?t=1706020414, 15 Aug 2013, [' win', ' mac', ' linux', 'Vr'], Mostly Positive75% of the 451,873 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., None, Free, No discount
The Callisto Protocol™, https://store.steampowered.com/app/1544020/The_Callisto_Protocol/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1544020/capsule_sm_120.jpg?t=1703127525, 1 Dec 2022, [' win'], Mixed64% of the 26,530 user reviews for this game are positive., 59,99€, 17,99€, 070%
Grand Theft Auto V, https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1706131787, 13 Apr 2015, [' win'], Very Positive86% of the 1,577,117 user reviews for this game are positive., 54,97€, 18,14€, 067%
NARAKA: BLADEPOINT, https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1203220/capsule_sm_120.jpg?t=1705656999, 11 Aug 2021, [' win'], Mostly Positive75% of the 197,801 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., None, Free, No discount
Dead Space, https://store.steampowered.com/app/1693980/Dead_Space/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1693980/capsule_sm_120.jpg?t=1702492799, 27 Jan 2023, [' win'], Very Positive91% of the 30,926 user reviews for this game are positive., 59,99€, 23,99€, 060%
Dead by Daylight, https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1706109885, 14 Jun 2016, [' win'], Very Positive80% of the 509,996 user reviews for this game are positive., 19,99€, 7,99€, 060%
Hi-Fi RUSH, https://store.steampowered.com/app/1817230/HiFi_RUSH/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1817230/capsule_sm_120.jpg?t=1706198637, 25 Jan 2023, [' win'], Overwhelmingly Positive97% of the 19,498 user reviews for this game are positive., 29,99€, 19,49€, 035%
Street Fighter™ 6, https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1364780/capsule_sm_120.jpg?t=1702388165, 1 Jun 2023, [' win'], Very Positive86% of the 21,327 user reviews for this game are positive., 59,99€, 39,59€, 034%
Tom Clancy's Rainbow Six® Siege, https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/359550/capsule_sm_120.jpg?t=1703177325, 1 Dec 2015, [' win'], Very Positive86% of the 1,037,252 user reviews for this game are positive., None, 19,99€, No discount
The Elder Scrolls® Online, https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/306130/capsule_sm_120.jpg?t=1706132945, 22 May 2017, [' win', ' mac'], Very Positive83% of the 117,603 user reviews for this game are positive., None, 19,99€, No discount
FINAL FANTASY XIV Online, https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/39210/capsule_sm_120.jpg?t=1696526331, 18 Feb 2014, [' win'], Very Positive88% of the 65,350 user reviews for this game are positive., None, 9,99€, No discount
Dota 2, https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1705522993, 9 Jul 2013, [' win', ' mac', ' linux'], Very Positive82% of the 2,162,318 user reviews for this game are positive., None, Free, No discount
Last Epoch, https://store.steampowered.com/app/899770/Last_Epoch/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/899770/capsule_sm_120.jpg?t=1706031853, 30 Apr 2019, [' win', ' linux'], Very Positive84% of the 23,671 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., None, 33,99€, No discount
MONSTER HUNTER RISE, https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1705885826, 12 Jan 2022, [' win'], Very Positive81% of the 57,731 user reviews for this game are positive., 39,99€, 15,99€, 060%
Lost Ark, https://store.steampowered.com/app/1599340/Lost_Ark/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1599340/capsule_sm_120.jpg?t=1702454470, 11 Feb 2022, [' win'], Mostly Positive71% of the 197,881 user reviews for this game are positive., None, Free, No discount
HELLDIVERS™ 2, https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/553850/capsule_sm_120.jpg?t=1705597567, 8 Feb 2024, [' win'], None, None, 39,99€, No discount
Call of Duty®: Warzone™, https://store.steampowered.com/app/1962663/Call_of_Duty_Warzone/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1962663/capsule_sm_120.jpg?t=1703006730, 16 Nov 2022, [' win'], Mostly Negative32% of the 29,665 user reviews for this game are positive., None, Free, No discount
Rust, https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1701938429, 8 Feb 2018, [' win', ' mac'], Very Positive87% of the 839,538 user reviews for this game are positive., None, 39,99€, No discount
Cyberpunk 2077, https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1091500/capsule_sm_120.jpg?t=1702306332, 9 Dec 2020, [' win'], Very Positive82% of the 626,402 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., None, 59,99€, No discount
theHunter: Call of the Wild™, https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/518790/capsule_sm_120.jpg?t=1702376841, 16 Feb 2017, [' win'], Very Positive88% of the 125,661 user reviews for this game are positive., 19,99€, 5,99€, 070%
Sea of Thieves 2023 Edition, https://store.steampowered.com/app/1172620/Sea_of_Thieves_2023_Edition/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1706117692, 3 Jun 2020, [' win'], Very Positive90% of the 270,060 user reviews for this game are positive., None, 39,99€, No discount
Ready or Not, https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1144200/capsule_sm_120.jpg?t=1705678438, 13 Dec 2023, [' win'], Very Positive88% of the 123,824 user reviews for this game are positive., None, 49,99€, No discount
Wallpaper Engine, https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/431960/capsule_sm_120.jpg?t=1665921297, Nov 2018, [' win'], Overwhelmingly Positive98% of the 684,963 user reviews for this software are positive., None, 3,99€, No discount
ELDEN RING, https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1700164457, 24 Feb 2022, [' win'], Very Positive92% of the 571,441 user reviews for this game are positive., None, 59,99€, No discount
Horizon Forbidden West™ Complete Edition, https://store.steampowered.com/app/2420110/Horizon_Forbidden_West_Complete_Edition/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2420110/capsule_sm_120.jpg?t=1706286418, 21 Mar 2024, [' win'], None, None, 59,99€, No discount
Forza Horizon 4, https://store.steampowered.com/app/1293830/Forza_Horizon_4/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1293830/capsule_sm_120.jpg?t=1702576030, 9 Mar 2021, [' win'], Very Positive89% of the 192,440 user reviews for this game are positive., 69,99€, 23,09€, 067%
THE FINALS, https://store.steampowered.com/app/2073850/THE_FINALS/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2073850/capsule_sm_120.jpg?t=1702495066, 7 Dec 2023, [' win'], Mostly Positive74% of the 128,197 user reviews for this game are positive., None, Free, No discount
Pizza Tower, https://store.steampowered.com/app/2231450/Pizza_Tower/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2231450/capsule_sm_120.jpg?t=1674756021, 26 Jan 2023, [' win'], Overwhelmingly Positive98% of the 46,458 user reviews for this game are positive., 19,50€, 13,06€, 033%
Black Desert, https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/582660/capsule_sm_120.jpg?t=1706236024, 24 May 2017, [' win'], Mostly Positive76% of the 52,683 user reviews for this game are positive., None, 9,99€, No discount
Deep Rock Galactic, https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/548430/capsule_sm_120_alt_assets_13.jpg?t=1705408527, 13 May 2020, [' win'], Overwhelmingly Positive97% of the 217,313 user reviews for this game are positive., 29,99€, 9,89€, 067%
Palworld - Soundtrack, https://store.steampowered.com/app/2771110/Palworld__Soundtrack/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2771110/capsule_sm_120.jpg?t=1705651206, 19 Jan 2024, [' music'], Mixed40% of the 137 user reviews for this game are positive., None, 5,89€, No discount
People Playground, https://store.steampowered.com/app/1118200/People_Playground/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1118200/capsule_sm_120.jpg?t=1698775412, 23 Jul 2019, [' win'], Overwhelmingly Positive98% of the 215,942 user reviews for this game are positive., None, 8,19€, No discount
Dead Rising 3 Apocalypse Edition, https://store.steampowered.com/app/265550/Dead_Rising_3_Apocalypse_Edition/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/265550/capsule_sm_120.jpg?t=1644282429, 5 Sep 2014, [' win'], Mostly Positive75% of the 11,224 user reviews for this game are positive., 29,99€, 8,99€, 070%
OMORI, https://store.steampowered.com/app/1150690/OMORI/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1150690/capsule_sm_120.jpg?t=1671584768, 25 Dec 2020, [' win', ' mac'], Overwhelmingly Positive97% of the 58,333 user reviews for this game are positive., None, 16,79€, No discount
PlateUp!, https://store.steampowered.com/app/1599600/PlateUp/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1599600/capsule_sm_120.jpg?t=1706026136, 4 Aug 2022, [' win'], Overwhelmingly Positive95% of the 11,738 user reviews for this game are positive., None, 19,50€, No discount
Grand Theft Auto: San Andreas – The Definitive Edition, https://store.steampowered.com/app/1547000/Grand_Theft_Auto_San_Andreas__The_Definitive_Edition/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1547000/capsule_sm_120.jpg?t=1676922466, 19 Jan 2023, [' win'], Mostly Positive73% of the 3,826 user reviews for this game are positive., None, 59,99€, No discount
theHunter: Call of the Wild™ - Medved-Taiga, https://store.steampowered.com/app/695680/theHunter_Call_of_the_Wild__MedvedTaiga/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/695680/capsule_sm_120.jpg?t=1648648251, 17 Oct 2017, [' win'], Very Positive80% of the 639 user reviews for this game are positive., 7,99€, 3,19€, 060%
Trove, https://store.steampowered.com/app/304050/Trove/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/304050/capsule_sm_120_alt_assets_12.jpg?t=1702497569, 9 Jul 2015, [' win'], Very Positive80% of the 91,151 user reviews for this game are positive., None, Free, No discount
Lake, https://store.steampowered.com/app/1118240/Lake/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1118240/capsule_sm_120.jpg?t=1700076378, 1 Sep 2021, [' win'], Very Positive86% of the 2,743 user reviews for this game are positive., 19,99€, 9,99€, 050%
Tom Clancy's Ghost Recon® Wildlands, https://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/460930/capsule_sm_120.jpg?t=1695136171, 6 Mar 2017, [' win'], Very Positive80% of the 69,495 user reviews for this game are positive., None, 49,99€, No discount
Battlefield™ 1, https://store.steampowered.com/app/1238840/Battlefield_1/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1238840/capsule_sm_120.jpg?t=1701356405, 11 Jun 2020, [' win'], Very Positive86% of the 118,339 user reviews for this game are positive., None, 39,99€, No discount
SEASON: A letter to the future, https://store.steampowered.com/app/695330/SEASON_A_letter_to_the_future/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/695330/capsule_sm_120.jpg?t=1705518574, 31 Jan 2023, [' win'], Very Positive93% of the 1,270 user reviews for this game are positive., 24,99€, 14,99€, 040%
Ratchet & Clank: Rift Apart, https://store.steampowered.com/app/1895880/Ratchet__Clank_Rift_Apart/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1895880/capsule_sm_120.jpg?t=1700663043, 26 Jul 2023, [' win'], Very Positive89% of the 5,229 user reviews for this game are positive., None, 59,99€, No discount
Realm of the Mad God Exalt, https://store.steampowered.com/app/200210/Realm_of_the_Mad_God_Exalt/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/200210/capsule_sm_120.jpg?t=1659426890, 20 Feb 2012, [' win', ' mac'], Very Positive83% of the 44,969 user reviews for this game are positive., None, Free, No discount
Scarlet Hollow, https://store.steampowered.com/app/1609230/Scarlet_Hollow/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1609230/capsule_sm_120.jpg?t=1690556803, 11 Jun 2021, [' win', ' mac', ' linux'], Overwhelmingly Positive99% of the 1,500 user reviews for this game are positive., 21,99€, 16,49€, 025%
DJMAX RESPECT V, https://store.steampowered.com/app/960170/DJMAX_RESPECT_V/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/960170/capsule_sm_120.jpg?t=1666858912, 11 Mar 2020, [' win'], Very Positive88% of the 21,223 user reviews for this game are positive., None, 41,99€, No discount
Game of Thrones Winter is Coming, https://store.steampowered.com/app/1105420/Game_of_Thrones_Winter_is_Coming/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1105420/capsule_sm_120.jpg?t=1700810767, 14 Nov 2019, [' win'], Mixed59% of the 2,251 user reviews for this game are positive., None, Free, No discount
Trailmakers, https://store.steampowered.com/app/585420/Trailmakers/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/585420/capsule_sm_120.jpg?t=1698922684, 18 Sep 2019, [' win'], Very Positive93% of the 16,657 user reviews for this game are positive., 24,99€, 9,99€, 060%
Call of Duty®: Black Ops, https://store.steampowered.com/app/42700/Call_of_Duty_Black_Ops/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/42700/capsule_sm_120.jpg?t=1654809667, 8 Nov 2010, [' win'], Very Positive91% of the 17,068 user reviews for this game are positive., None, 39,99€, No discount
Friends vs Friends, https://store.steampowered.com/app/1785150/Friends_vs_Friends/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1785150/capsule_sm_120_alt_assets_4.jpg?t=1705477505, 30 May 2023, [' win'], Very Positive84% of the 6,878 user reviews for this game are positive., 9,99€, 4,99€, 050%
Ghostrunner, https://store.steampowered.com/app/1139900/Ghostrunner/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1139900/capsule_sm_120.jpg?t=1699899369, 27 Oct 2020, [' win'], Very Positive92% of the 41,351 user reviews for this game are positive., None, 29,99€, No discount
Monster Sanctuary, https://store.steampowered.com/app/814370/Monster_Sanctuary/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/814370/capsule_sm_120.jpg?t=1698830027, 8 Dec 2020, [' win', ' mac', ' linux'], Very Positive92% of the 7,839 user reviews for this game are positive., 19,99€, 4,99€, 075%
Vindictus, https://store.steampowered.com/app/212160/Vindictus/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/212160/capsule_sm_120.jpg?t=1705993465, 22 Jun 2012, [' win'], Mixed68% of the 7,550 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score., None, Free, No discount
Lost Ark: Ultimate Starter Pack, https://store.steampowered.com/app/2612180/Lost_Ark_Ultimate_Starter_Pack/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/2612180/capsule_sm_120.jpg?t=1700081614, 15 Nov 2023, [' win'], None, None, 56,99€, No discount
Resident Evil, https://store.steampowered.com/app/304240/Resident_Evil/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/304240/capsule_sm_120.jpg?t=1700452956, 19 Jan 2015, [' win'], Very Positive91% of the 16,824 user reviews for this game are positive., 19,99€, 4,99€, 075%
The Coffin of Andy and Leyley, https://store.steampowered.com/app/2378900/The_Coffin_of_Andy_and_Leyley/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/2378900/capsule_sm_120.jpg?t=1706520690, 13 Oct 2023, [' win'], Overwhelmingly Positive97% of the 13,340 user reviews for this game are positive., None, 9,75€, No discount
Sonic Forces, https://store.steampowered.com/app/637100/Sonic_Forces/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/637100/capsule_sm_120.jpg?t=1603129888, 7 Nov 2017, [' win'], Mixed62% of the 5,387 user reviews for this game are positive., 39,99€, 9,99€, 075%
MY HERO ULTRA RUMBLE, https://store.steampowered.com/app/1607250/MY_HERO_ULTRA_RUMBLE/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1607250/capsule_sm_120.jpg?t=1706239140, 28 Sep 2023, [' win'], Mixed67% of the 14,939 user reviews for this game are positive., None, Free, No discount
Death and Taxes, https://store.steampowered.com/app/1166290/Death_and_Taxes/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1166290/capsule_sm_120.jpg?t=1706579367, 20 Feb 2020, [' win', ' mac', ' linux'], Very Positive88% of the 4,564 user reviews for this game are positive., 11,99€, 2,99€, 075%
STAR WARS™ Battlefront™ II, https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1237950/capsule_sm_120.jpg?t=1701356407, 11 Jun 2020, [' win'], Very Positive87% of the 45,668 user reviews for this game are positive., None, 39,99€, No discount
We Were Here Forever, https://store.steampowered.com/app/1341290/We_Were_Here_Forever/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1341290/capsule_sm_120.jpg?t=1700228483, 10 May 2022, [' win'], Very Positive91% of the 10,674 user reviews for this game are positive., None, 17,99€, No discount
Banishers: Ghosts of New Eden, https://store.steampowered.com/app/1493640/Banishers_Ghosts_of_New_Eden/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1493640/capsule_sm_120.jpg?t=1706610775, 13 Feb 2024, [' win'], None, None, 49,99€, No discount
Hidden Deep, https://store.steampowered.com/app/976890/Hidden_Deep/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/976890/capsule_sm_120.jpg?t=1701708101, 24 Jan 2022, [' win'], Mostly Positive79% of the 2,964 user reviews for this game are positive., 19,99€, 7,99€, 060%
Naval Action, https://store.steampowered.com/app/311310/Naval_Action/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/311310/capsule_sm_120.jpg?t=1684156259, 13 Jun 2019, [' win'], Mixed57% of the 11,899 user reviews for this game are positive., None, Free, No discount
Uncrashed : FPV Drone Simulator, https://store.steampowered.com/app/1682970/Uncrashed__FPV_Drone_Simulator/?snr=1_7_7_7000_150_14, https://cdn.akamai.steamstatic.com/steam/apps/1682970/capsule_sm_120.jpg?t=1701942386, 1 Sep 2021, [' win', ' mac'], Very Positive93% of the 1,794 user reviews for this game are positive., None, 12,99€, No discount
